企　業　名,職種,22年度,,,,,23年度,,,,,24年度,,,,,25年度,,,,,26年度,,,,
,,機,知,情,生,電,機,知,情,生,電,機,知,情,生,環,機,知,情,生,環,機,知,情,生,環
シナノケンシ(株),Ｅ,,,,,,,1,,,,,,,,,,,,,,,,,,
芝浦メカトロニクス(株)  ,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
柴田工業(株),Ｅ,,,,,,,,,,,,,1,,,,,,,,,,,,
渋谷工業(株) 　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)島精機製作所,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
島津メディカルシステムズ（株）,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
シミズ工業(株)　　　　　　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
シロキ工業(株),Ｅ,,,,,,1,,,,,1,,,,,,,,,,,1,,,
(株）ジェイマックソフト,Ｇ,,,,,,,,,,,,,,,,,,,,,,1,,,
シャ－プ(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
シャルマン（株）,Ｅ,,,,,,,1,,,,,,,,,,,,,,,,,,
将八　　　　　　　　　　　　 　,Ｍ,,,,,,,,,,,,,,,,,,,,,,,,,
情報戦略研究所,Ｑ,,,,,,,,,,,,,,,,,,,,,,,,,
ジャコム石川,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ジャステック　　,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)ジャックコーポレーション,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
ジャパンパイル(株),Ｄ,,,,,,,,,,,,,,,,,,,,1,,,,,
(株）ジャパンビバレッジホールディングス,Ｉ,,,,,,,,,1,,,,,,,,,,,,,,,,
(株)ジャパンフレッシュ,Ｅ,,,,,,,,,1,,,,,,,,,,,,,,,,
(株)シャンティル・キタガミ,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
伸晃化学(株)　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)新巧社　　　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
新光電気工業(株) 　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
新興プランテック（株）,Ｄ,,,,,,,,,,,,,,,,,,,,,,,,,
新神戸電機(株) 　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
シンコ－ル(株) 　　,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
新東工業(株)　　　　　,Ｅ,,,,,,,,,,,1,1,,,,,,,,,,1,,,
新道繊維工業(株)　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
新日軽(株) 　　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
新日本無線(株) 　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
新明和工業(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
須賀工業(株) 　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
スギ製菓(株),Ｅ,,,,,,,,,,,,,,1,,,,,,,,,,,
(株)スクエアシステムズ,Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株）鈴木　（長野県）,Ｅ,,,,,,,,,,,,,,,,,,,,1,,,,,
スズキ,Ｅ,,,,,,,,,,,,,,,,,,,,,,1,,,
スズキ自販富山　             ,Ｉ,,,,,,,,,,,,,,,,,,,,,,,,,
スター精密(株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
スタンレー電気,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
（株）スピリッツ,Ｒ,,,,1,,,,,,,,,,,,,,,,,,,,,
住電エレクトロニクス(株）,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
住友電工プリントサーキット(株),Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
住友電設(株),Ｄ,,,,,,,,,,,,,,,,,,1,,,,,,,
住友電装(株),Ｅ,,,,,,,,,,,,1,,,,,,,,,,,,,
住友電装コンピュータシステム(株),Ｇ,,,,,,,,,,,,,,,,,,,,,,,,,
(株)栖谷工務店　　　,Ｅ,,,,,,,,,,,,,,,,,,,,,,,,,
